O que é a mitocôndria faz?;Armazena energia;Produz ATP;Ajuda na digestão;Sintetiza proteínas;B;Produz ATP;Mitocôndrias produzem ATP, a energia da célula.
Qual é o hormônio feminino principal?;Testosterona;Progesterona;Estrogênio;Insulina;C;Estrogênio;Estrogênio é o principal hormônio feminino.
O que é meiose?;Divisão celular simples;Produção de gametas;Duplicação de DNA;Fotossíntese;B;Produção de gametas;A meiose produz células sexuais (gametas).
Quem descobriu a estrutura do DNA?;Watson e Crick;Darwin;Galileu;Newton;A;Watson e Crick;Watson e Crick descobriram a dupla hélice do DNA.
O que são ribossomos?;Organela de síntese proteica;Armazenamento de energia;Parte do núcleo;Enzimas;A;Organela de síntese proteica;Ribossomos sintetizam proteínas.
Qual é o pH do sangue humano?;5.5;6.8;7.4;8.2;C;7.4;O pH do sangue é ligeiramente alcalino; cerca de 7.4.
Qual é o principal componente da parede celular vegetal?;Quitina;Colágeno;Celulose;Proteína;C;Celulose;A parede celular vegetal é composta de celulose.
Quantos ossos tem o corpo humano adulto?;204;206;208;210;B;206;O corpo humano adulto possui 206 ossos.
O que é endocitose?;Eliminação de resíduos;Entrada de substâncias;Respiração celular;Divisão celular;B;Entrada de substâncias;Endocitose é a entrada de substâncias na célula.
O que é RNA?;Ácido Nucleico;Proteína;Carboidrato;Lipídio;A;Ácido Nucleico;O RNA é um ácido nucleico relacionado à síntese de proteínas.
