Perguntas,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Resposta Correta,Resposta manuscrita
"Se log₂(8) = x, qual é o valor de x?",1,2,3,4,C,"Sabemos que 2 elevado a 3 resulta em 8, portanto x = 3."
"Resolva a equação: 2x² - 8 = 0.",x = 2,x = -2,x = 4,x = -4,A,"2x² = 8, então x² = 4. Portanto, x = 2 ou x = -2."
"Qual é a derivada de f(x) = 3x² - 5x + 2?",3x - 5,6x - 5,6x - 2,6x + 5,B,"A derivada de 3x² é 6x, e a derivada de -5x é -5."
"Se uma função f(x) = 2x + 3 possui f(5), qual o valor de f(5)?",10,13,15,18,B,"Substituímos x = 5 na função: f(5) = 2(5) + 3 = 13."
"Resolva o sistema: x + y = 10 e x - y = 4.",x = 7 e y = 3,x = 6 e y = 4,x = 8 e y = 2,x = 9 e y = 1,A,"Somando as equações, obtemos x = 7 e y = 3."
"Qual é o valor de sen(30°) ?",0.5,1,√3/2,1/2,D,"sen(30°) é igual a 1/2 pela definição no triângulo retângulo."
"Resolva: √(49/25).",7/5,5/7,49/25,√7,A,"A raiz quadrada de (49/25) é 7/5."
"Um cone possui altura de 9 cm e raio da base de 6 cm. Qual o volume do cone?",216π cm³,108π cm³,324π cm³,162π cm³,B,"Volume = (1/3)πr²h = (1/3)π(6)²(9) = 108π cm³."
"Resolva a equação log₃(81) = x.",2,3,4,5,C,"3⁴ = 81, portanto log₃(81) = 4."
"Se f(x) = x³ e g(x) = x², qual é o valor de (f ∘ g)(2)?",4,8,16,64,C,"(f ∘ g)(x) = f(g(x)) = (x²)³ = x⁶. Substituímos x = 2: 2⁶ = 64."
